# ---- HI-TS(HIVP) 継手 実寸(ユーザー提供メーカー図面 6011/6012/601245L/6013/6042) ----
# HI共通: size,socketOD,socketDepth
HIcommon,13,24,26
HIcommon,16,29,30
HIcommon,20,33,35
HIcommon,25,40,40
HIcommon,30,46,44
HIcommon,40,57,55
HIcommon,50,70,63
HIcommon,65,87,61
HIcommon,75,102,64
HIcommon,100,130,84
HIcommon,125,157,104
HIcommon,150,186,132
# HIL 90°エルボ(6012): size,A(中心〜受口端),A2(中心〜受口底)
HIL,13,36,10
HIL,16,43,13
HIL,20,50,15
HIL,25,58,18
HIL,30,65,21
HIL,40,82,27
HIL,50,96,33
HIL,65,110,49
HIL,75,120,56
HIL,100,153,69
HIL,125,192,88
HIL,150,230,98
# HI45L 45°エルボ(601245L): size,A,A2
HI45L,13,33,7
HI45L,20,44,9
HI45L,25,51,11
HI45L,30,56,12
HI45L,40,69,14
HI45L,50,80,17
HI45L,65,91,30
HI45L,75,97,33
HI45L,100,122,38
# HIT チーズ(6013): size,Lrun(中心〜主管端),Lbranch(中心〜枝端)
HIT,13,36,36
HIT,16,43,43
HIT,20,50,50
HIT,25,58,58
HIT,28,61,61
HIT,30,65,65
HIT,35,69,69
HIT,40,82,82
HIT,50,96,96
HIT,65,110,110
HIT,75,120,120
HIT,100,152,152
HIT,125,190,190
HIT,150,230,230
# HIT径違い: size,branch,Lrun,Lbranch
HITR,16,13,41,38
HITR,20,13,46,40
HITR,25,13,51,43
HITR,30,13,55,46
HITR,40,13,66,52
HITR,50,13,74,58
HITR,75,25,93,88
HITR,65,50,101,104
HITR,100,50,125,122
HITR,20,16,48,45
HITR,25,16,53,48
HITR,30,16,57,51
HITR,40,16,68,57
HITR,50,16,76,63
HITR,75,40,100,102
HITR,150,75,195,158
HITR,30,20,59,56
HITR,25,20,55,53
HITR,40,20,70,62
HITR,50,20,78,68
HITR,100,75,140,132
HITR,125,100,177,169
HITR,75,50,105,110
HITR,30,25,62,61
HITR,40,25,73,67
HITR,50,25,81,73
HITR,150,100,208,182
HITR,75,65,113,117
HITR,40,30,76,71
HITR,50,30,84,77
HITR,150,125,219,205
HITR,50,40,90,88
# HIS ソケット(6011): size,L(全長),stop
HIS,13,57,5
HIS,16,67,7
HIS,20,77,7
HIS,25,87,7
HIS,30,95,7
HIS,40,117,7
HIS,50,133,7
HIS,65,145,23
HIS,75,155,27
HIS,100,200,32
HIS,125,230,22
HIS,150,300,36
# HIS径違い(6011): size1,size2,L,stop
HISR,16,13,61,5
HISR,20,13,68,7
HISR,20,16,71,6
HISR,25,13,86,20
HISR,25,16,85,15
HISR,25,20,84,9
HISR,30,20,93,14
HISR,30,25,93,9
HISR,40,20,113,23
HISR,40,25,114,19
HISR,40,30,114,15
HISR,50,25,140,37
HISR,50,30,136,29
HISR,50,40,136,18
HISR,65,50,149,25
HISR,75,50,165,38
HISR,75,65,156,31
HISR,100,75,190,42
# HIC キャップ(6042): size,L(全長),depth
HIC,13,29,26
HIC,16,33.5,30
HIC,20,38.5,35
HIC,25,44,40
HIC,30,48,44
HIC,40,59.5,55
HIC,50,68,63
HIC,75,105,64
HIC,100,138,84
HIC,150,205,132
