# 冷媒配管のペア(液管×ガス管)マスタ: 液管の呼び径(CURの呼び径),ガス管の呼び径,用途の目安
# 目安は代表的な組合せ。機種ごとの正しいサイズはメーカーの据付説明書(室内機側/室外機側/分岐後)で決める
6.35,9.52,ルームエアコン 2.2〜2.8kW
6.35,12.7,ルームエアコン 3.6〜5.6kW / パッケージ 3.6〜5.6kW / マルチ室内機 〜5.6kW
9.52,15.88,パッケージ 6.3〜14kW / マルチ室内機 7.1〜14kW
9.52,19.05,マルチ室内機 16〜22.4kW / ビル用マルチ室外機 8HP級
9.52,22.22,ビル用マルチ室外機 10HP級
12.7,25.4,パッケージ 16〜25kW
12.7,28.58,ビル用マルチ室外機 12〜16HP級
15.88,28.58,ビル用マルチ室外機 18〜22HP級
15.88,31.75,ビル用マルチ 24HP級
19.05,34.92,ビル用マルチ 26〜34HP級
19.05,41.28,ビル用マルチ 36〜54HP級
