# 用途マスタ: id,名称,色番号,線種,既定管種
# 色番号はMepCadパレット(0黒 1赤 2青 3緑 4橙 5紫 6青緑 7マゼンタ 8グレー 9薄紫)
# 線種はJw_cad標準(0実線 1-3点線 4-5一点鎖 6-7二点鎖 8補助)
CW,給水,2,0,HIVP
HW,給湯(往),1,0,CUP
HWR,給湯(還),1,4,CUP
S,汚水,4,0,VP
W,雑排水,3,0,VP
RW,雨水,6,0,VP
VT,通気,5,1,VP
FI,消火,7,0,SGP-W
R,冷媒,9,0,CUR
D,ドレン,6,4,VP
