# ダクト用途マスタ: id,名称,色番号,線種
# 色番号はMepCadパレット(0黒 1赤 2青 3緑 4橙 5紫 6青緑 7マゼンタ 8グレー 9薄紫)
SA,給気,2,0
RA,還気,3,0
EA,排気,1,0
OA,外気,6,0
KEA,厨房排気,4,0
SEA,排煙,7,0
